Person,Model,CV_Mean,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP,FAR,FRR
divyesh,Random Forest,0.7166666666666667,0.08498365855987977,0.6666666666666666,0.3333333333333333,1.0,0.5,3,2,0,1,0.4,0.0
divyesh,Gradient Boosting,0.85,0.10801234497346433,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
divyesh,SVM,0.7833333333333333,0.023570226039551605,0.8333333333333334,0.0,0.0,0.0,5,0,1,0,0.0,1.0
divyesh,MLP Neural Network,0.9166666666666666,0.11785113019775792,0.6666666666666666,0.3333333333333333,1.0,0.5,3,2,0,1,0.4,0.0
harshit,Random Forest,0.8666666666666667,0.09428090415820632,0.8333333333333334,0.0,0.0,0.0,5,0,1,0,0.0,1.0
harshit,Gradient Boosting,0.8666666666666667,0.09428090415820632,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
harshit,SVM,0.7833333333333333,0.023570226039551605,0.8333333333333334,0.0,0.0,0.0,5,0,1,0,0.0,1.0
harshit,MLP Neural Network,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
kartik,Random Forest,0.9333333333333332,0.09428090415820632,0.8333333333333334,0.0,0.0,0.0,5,0,1,0,0.0,1.0
kartik,Gradient Boosting,0.9333333333333332,0.09428090415820632,0.5,0.0,0.0,0.0,3,2,1,0,0.4,1.0
kartik,SVM,0.7833333333333333,0.023570226039551605,0.8333333333333334,0.0,0.0,0.0,5,0,1,0,0.0,1.0
kartik,MLP Neural Network,0.9333333333333332,0.09428090415820632,0.8333333333333334,0.5,1.0,0.6666666666666666,4,1,0,1,0.2,0.0
saif,Random Forest,0.9333333333333332,0.09428090415820632,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
saif,Gradient Boosting,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
saif,SVM,0.85,0.10801234497346433,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
saif,MLP Neural Network,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
vanshish,Random Forest,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
vanshish,Gradient Boosting,0.9333333333333332,0.09428090415820632,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
vanshish,SVM,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
vanshish,MLP Neural Network,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1,0.0,0.0
